Variable,"The District of Algoma Health Unit [Health region], Ontario","Brant County Health Unit [Health region], Ontario","Chatham-Kent Health Unit [Health region], Ontario","Durham Regional Health Unit [Health region], Ontario","The Eastern Ontario Health Unit [Health region], Ontario","Grey Bruce Health Unit [Health region], Ontario","Haldimand-Norfolk Health Unit [Health region], Ontario","City of Hamilton Health Unit [Health region], Ontario","Halton Regional Health Unit [Health region], Ontario","Haliburton, Kawartha, Pine Ridge District Health Unit [Health region], Ontario","Hastings and Prince Edward Counties Health Unit [Health region], Ontario","Huron Perth Health Unit [Health region], Ontario","Kingston, Frontenac and Lennox and Addington Health Unit [Health region], Ontario","Lambton Health Unit [Health region], Ontario","Leeds, Grenville and Lanark District Health Unit [Health region], Ontario","Middlesex-London Health Unit [Health region], Ontario","Niagara Regional Area Health Unit [Health region], Ontario","North Bay Parry Sound District Health Unit [Health region], Ontario","Northwestern Health Unit [Health region], Ontario","City of Ottawa Health Unit [Health region], Ontario","Peel Regional Health Unit [Health region], Ontario","Peterborough County--City Health Unit [Health region], Ontario","Porcupine Health Unit [Health region], Ontario","Sudbury and District Health Unit [Health region], Ontario","Renfrew County and District Health Unit [Health region], Ontario","Simcoe Muskoka District Health Unit [Health region], Ontario","South West [Home and Community Care Support Services], Ontario","Thunder Bay District Health Unit [Health region], Ontario","Timiskaming Health Unit [Health region], Ontario","City of Toronto Health Unit [Health region], Ontario","Waterloo Health Unit [Health region], Ontario","Wellington-Dufferin-Guelph Health Unit [Health region], Ontario","Windsor-Essex County Health Unit [Health region], Ontario","York Regional Health Unit [Health region], Ontario"
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,15,5,10,0,5,0,0,0,0
      Non-Indigenous languages,7445,16200,8245,125325,9485,12820,9715,133015,165235,8565,8745,13310,17280,8170,6400,105425,67415,4815,2275,231615,662240,8295,2690,11515,4385,69790,154445,12220,1070,1162450,151300,48050,95025,559955
        Afro-Asiatic languages,180,665,255,6230,730,305,210,17600,17520,255,285,290,1440,345,340,18590,3745,115,45,55580,46430,540,40,440,145,3085,19585,420,20,70710,16235,3545,24090,19935
          Berber languages,5,0,0,15,25,5,0,20,40,0,0,0,5,5,0,15,5,5,5,500,75,0,0,10,5,0,20,0,0,115,10,0,5,5
            Kabyle,5,0,0,10,15,5,0,10,40,0,0,0,5,0,0,5,0,5,0,350,30,0,0,5,0,0,10,0,0,75,10,0,5,0
            Tamazight,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,0,0,0,125,15,0,0,0,0,0,10,0,0,30,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,10,0,0,0,0
          Chadic languages,5,5,0,30,0,0,0,30,10,0,0,0,5,0,0,15,0,0,0,80,130,5,0,0,0,10,15,0,0,210,10,0,65,15
            Hausa,5,5,0,25,0,0,0,30,10,0,0,0,0,0,0,15,0,0,0,45,125,5,0,0,0,10,15,0,0,190,10,0,60,15
            Mina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,5,0,0,0,0,0,5,0,0,15,0,0,10,0
          Coptic,0,0,0,40,0,0,0,10,70,0,0,0,0,0,0,5,5,0,0,30,180,0,0,0,0,10,5,0,0,40,15,0,10,120
          Cushitic languages,0,15,0,225,5,5,0,1260,165,0,5,10,45,10,5,355,255,10,0,7615,1845,15,0,5,0,25,365,25,0,12110,2230,195,715,415
            Bilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,90,10,0,0,0,0,0,15,0,0,130,570,100,0,0
            Oromo,0,0,0,30,0,0,0,45,20,0,0,0,0,0,0,10,5,0,0,210,95,0,0,0,0,0,15,15,0,875,135,20,50,20
            Somali,0,15,0,190,5,5,0,1210,140,0,5,5,40,5,5,320,250,5,0,7145,1725,15,0,5,0,25,330,10,0,11020,1400,80,660,400
"            Cushitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,15,0,0,0,0,0,5,0,0,80,120,0,15,0
          Semitic languages,175,650,255,5925,705,300,210,16275,17235,250,280,285,1385,335,330,18200,3475,110,45,47360,44210,520,40,430,140,3035,19175,390,20,58240,13960,3335,23290,19385
            Amharic,0,5,0,285,10,0,0,245,65,5,15,25,35,10,0,300,50,5,0,1615,640,5,10,5,0,55,325,10,0,7470,1070,250,105,185
            Arabic,160,550,205,5080,670,245,145,12560,16080,180,225,215,1270,295,300,15560,3110,85,35,43645,37645,470,25,410,135,1455,16310,360,15,32985,9535,1550,18145,10585
            Aramaic languages,10,35,20,90,0,5,40,3000,640,0,5,5,10,15,0,1600,95,5,0,115,4295,0,0,0,0,1015,1640,0,0,5335,515,55,4620,2535
              Assyrian Neo-Aramaic,0,25,10,55,0,0,40,2540,345,0,5,5,5,10,0,1320,85,0,0,70,3120,0,0,0,0,790,1355,0,0,4195,310,45,865,1785
              Chaldean Neo-Aramaic,0,10,10,25,0,0,0,385,230,0,0,0,0,0,0,240,5,0,0,20,975,0,0,0,0,195,240,0,0,950,100,5,3655,685
"              Aramaic, n.o.s.",10,0,0,10,0,0,0,75,60,0,0,0,0,0,0,40,5,0,0,25,205,0,0,0,0,30,50,0,0,195,105,5,110,70
            Harari,0,0,0,65,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,40,70,0,0,0,0,5,0,0,0,700,25,0,5,45
            Hebrew,0,5,5,75,10,5,0,165,125,15,10,5,25,0,15,150,60,10,0,475,85,15,0,5,5,290,170,0,0,4205,145,80,35,5600
            Maltese,5,40,15,220,5,15,20,95,260,50,25,5,10,10,10,165,105,15,0,35,1070,20,0,5,0,195,235,0,5,1095,55,110,155,270
            Tigrigna,0,10,0,110,5,25,0,210,55,0,0,25,30,10,0,430,55,0,0,1390,370,5,0,5,0,25,490,5,0,6310,2605,1290,220,145
"            Semitic languages, n.i.e.",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,45,30,0,0,0,0,0,5,0,0,140,10,5,0,15
        Austro-Asiatic languages,20,735,235,1120,105,60,75,4370,1560,80,155,50,320,120,115,2850,1320,70,15,7685,15005,290,15,180,50,1795,3380,180,10,28750,4080,1965,2320,8170
          Khmer (Cambodian),0,40,10,80,10,5,5,800,55,5,5,5,70,0,5,710,160,0,0,1085,275,65,0,10,15,435,865,0,0,1230,260,140,390,1040
          Vietnamese,20,695,230,1040,90,55,70,3575,1505,75,150,40,250,110,105,2135,1160,70,15,6595,14720,230,15,170,35,1350,2515,180,10,27445,3805,1815,1930,7130
"          Austro-Asiatic languages, n.i.e",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,5,0,0,0,80,15,10,0,5
        Austronesian languages,155,740,170,9295,330,250,240,6145,6550,355,415,335,740,305,215,3460,3480,160,315,8640,33705,400,190,300,155,2650,4580,350,35,102865,3415,2770,3085,15615
          Bikol,5,0,0,20,0,0,0,20,5,0,0,5,0,0,5,10,10,0,5,30,135,5,0,10,0,5,15,0,0,335,10,15,10,40
"          Bisaya, n.o.s.",0,10,5,80,10,0,5,85,100,5,15,20,10,5,0,55,45,0,5,150,315,25,0,0,5,35,85,0,0,1385,105,50,35,175
          Cebuano,10,15,10,265,10,10,0,185,170,10,20,15,25,10,10,200,140,10,25,335,830,55,10,15,5,80,255,20,5,2755,140,110,70,300
          Fijian,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0
          Hiligaynon,0,10,0,125,10,15,0,70,85,0,15,0,10,0,0,75,65,0,0,160,495,10,5,0,0,35,95,10,0,2140,70,65,50,225
          Ilocano,5,50,5,375,5,15,15,380,290,35,25,25,55,30,10,220,165,5,25,720,1390,25,10,30,10,170,265,20,0,9165,140,135,100,1015
          Indonesian,0,25,5,165,10,10,0,110,295,10,15,5,15,10,15,145,65,10,10,365,1065,5,10,20,5,70,170,15,0,1900,200,80,80,700
          Kankanaey,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,5,5,0,0,20,20,0,0,0,0,0,10,0,0,240,0,5,10,15
          Kinaray-a,0,0,0,10,0,0,0,10,5,0,0,0,0,0,0,5,0,0,0,20,10,0,0,0,0,0,5,0,0,185,15,0,0,10
          Malagasy languages,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,0,0,0,0,0,0,0,0,20,0,0,10,5
            Merina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"            Malagasy, n.o.s.",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,15,0,0,10,0
          Malay,0,10,0,30,0,0,0,20,10,0,0,0,5,0,0,15,5,0,0,55,80,0,0,0,5,5,20,5,0,195,35,10,5,45
"          Pampangan (Kapampangan, Pampango)",0,0,0,105,0,0,5,70,105,5,0,0,10,0,0,25,20,0,0,50,465,0,0,0,5,10,20,0,0,875,20,35,20,100
          Pangasinan,0,0,0,25,0,0,0,15,20,0,0,5,5,0,0,5,10,0,0,25,95,0,0,0,0,10,10,0,0,450,15,5,0,60
"          Tagalog (Pilipino, Filipino)",120,600,135,8035,275,195,205,5090,5380,290,315,245,595,240,160,2650,2915,130,230,6440,28505,270,155,220,120,2185,3535,270,30,82190,2595,2250,2640,12735
          Waray-Waray,0,10,0,15,0,0,0,20,20,5,0,0,5,0,0,15,20,0,0,40,90,0,0,0,0,5,25,0,0,270,15,0,5,50
"          Austronesian languages, n.i.e.",10,5,0,45,10,0,0,50,55,5,0,5,5,0,10,45,25,0,5,145,200,0,0,5,5,25,70,10,0,755,55,20,55,135
        Creole languages,10,35,5,495,200,10,35,345,225,15,10,15,55,15,25,130,250,10,5,4350,1525,20,5,35,20,90,160,25,5,2720,280,60,255,400
          Haitian Creole,0,5,0,155,145,0,0,150,15,5,5,10,20,5,20,35,150,10,0,3240,180,5,0,20,10,25,40,10,5,720,45,10,125,35
          Jamaican English Creole,0,0,0,30,0,5,0,20,0,5,0,0,0,5,0,5,5,0,0,30,90,0,0,0,0,5,15,0,0,150,10,0,5,30
          Krio,0,0,0,20,0,0,0,10,5,0,0,0,0,0,0,10,0,0,0,30,55,5,0,0,0,0,15,10,0,105,20,10,5,5
          Morisyen,0,5,0,55,20,0,0,20,125,0,0,0,10,5,0,5,10,0,0,220,620,0,0,0,0,5,10,0,0,565,55,15,20,225
          Sango,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"          Creole, n.o.s.",5,10,0,165,25,0,10,90,55,5,5,5,15,0,5,50,70,0,0,755,355,5,0,10,5,40,60,5,0,765,90,20,70,60
"          Creole languages, n.i.e.",0,15,0,65,0,0,5,40,30,5,5,0,10,0,0,20,10,0,0,65,235,5,0,0,0,15,20,0,0,415,60,10,15,35
        Dravidian languages,195,345,165,18235,580,180,90,2145,4810,160,365,240,515,335,100,4480,1505,160,90,5835,39850,380,85,395,85,2245,5080,705,35,67990,4770,1175,1715,24960
          Kannada,5,10,0,165,15,10,0,60,295,0,10,10,10,10,5,85,20,5,0,325,1415,20,0,10,0,35,115,10,0,1180,195,45,60,290
          Malayalam,115,140,105,1900,80,70,50,1115,1050,45,190,175,310,200,45,3235,1075,110,75,1350,7485,140,50,265,35,600,3630,500,20,7285,2030,430,515,1860
          Tamil,40,125,40,14755,460,80,20,665,2175,110,150,30,125,70,40,685,320,20,10,2915,24830,145,20,65,25,1480,815,60,0,52910,1390,570,555,21685
          Telugu,25,65,25,1390,25,20,5,290,1245,5,15,15,70,50,15,455,90,20,10,1200,5900,75,10,60,20,130,505,125,5,6455,1120,125,575,1085
          Tulu,0,0,0,15,0,0,0,0,35,0,5,0,0,0,0,5,5,0,0,30,155,5,0,0,0,0,10,0,0,115,10,0,10,15
"          Dravidian languages, n.i.e.",0,0,0,10,0,0,0,5,15,0,0,0,0,0,0,10,0,0,0,15,65,0,0,0,0,0,15,5,0,50,25,0,5,15
        Georgian,0,0,0,15,0,0,0,15,15,0,0,0,0,0,0,5,5,0,0,40,55,0,0,0,0,10,5,0,0,1095,10,10,0,360
        Hmong-Mien languages,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,435,0,10,0
        Indo-European languages,5875,12035,6775,73595,6520,11090,8320,86045,101930,6375,6090,11575,10490,6275,4840,58835,46665,3575,1585,97715,460780,5350,1955,7690,3380,51160,101355,7585,850,571815,98925,31910,52410,239805
          Albanian,0,60,20,355,10,10,20,1310,765,20,5,20,40,20,10,1045,235,5,0,765,2775,75,0,10,5,200,1170,10,0,9200,1085,110,980,1455
          Armenian,5,20,5,560,20,5,0,310,300,30,20,5,30,15,10,100,235,5,0,450,690,5,0,10,5,175,125,0,0,7615,650,80,190,3120
          Balto-Slavic languages,770,2505,765,10035,830,1275,1050,22790,23695,1440,980,625,1470,880,935,11115,11350,720,285,20590,54585,1055,260,1420,1080,12675,14910,1800,135,105980,18065,4840,10560,49300
            Baltic languages,35,20,10,200,25,85,45,595,475,65,50,15,50,25,40,205,230,45,10,400,640,40,25,70,20,440,395,25,5,2640,155,115,60,475
              Latvian,15,10,5,125,10,35,15,235,145,40,35,10,30,10,25,70,105,20,5,220,135,25,5,25,5,155,130,20,0,1165,70,60,15,195
              Lithuanian,20,10,5,75,15,50,30,360,330,30,15,5,25,15,15,140,125,20,0,185,500,20,15,45,15,285,265,5,0,1480,80,55,45,280
            Slavic languages,730,2480,750,9835,805,1190,1005,22195,23220,1370,930,605,1415,855,890,10910,11120,680,280,20190,53945,1010,235,1350,1060,12230,14520,1775,130,103340,17910,4725,10505,48830
              Belarusian,0,0,0,10,0,5,0,5,30,5,0,0,5,0,0,15,10,0,0,50,30,0,0,0,0,15,20,0,0,140,15,0,0,90
              Bulgarian,0,20,5,185,20,15,20,145,540,30,10,5,35,10,25,80,330,10,5,865,1145,20,5,15,5,115,115,5,0,3830,180,60,90,705
              Czech,35,45,95,260,50,120,35,750,520,100,85,40,120,65,105,335,275,70,15,775,755,90,0,60,25,445,535,40,5,2415,585,175,150,370
              Macedonian,5,15,10,1535,0,20,5,415,685,70,35,0,20,15,0,85,120,10,0,100,1370,25,0,5,5,355,115,0,0,5090,245,80,1090,2180
              Polish,340,1585,390,3665,240,420,440,6670,7975,535,385,190,545,330,340,4870,3885,290,85,5105,26230,515,80,455,730,3765,6525,765,50,20800,4920,2235,2750,3615
              Russian,40,200,50,1540,260,165,75,1650,3915,220,165,90,335,100,195,1605,1485,110,10,7290,5550,120,25,135,100,5030,2005,105,15,33775,2300,495,590,36400
              Rusyn,0,0,0,5,0,0,0,5,10,0,0,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,20,0,0,20,140,0,10,5
              Serbo-Croatian,125,305,60,1110,100,240,150,10355,6865,130,80,115,120,135,75,2470,2905,70,25,3520,10680,95,60,310,40,930,3195,280,15,19275,7870,1095,4535,2585
                Bosnian,5,30,0,70,10,20,15,970,370,5,5,5,15,15,15,675,240,5,0,700,1270,0,0,10,5,80,740,5,0,1300,650,95,345,165
                Croatian,95,145,20,465,35,115,100,4085,3760,65,30,50,40,80,40,820,1120,40,15,975,5185,55,60,210,20,465,1215,225,10,4995,1925,410,1505,970
                Serbian,25,130,30,565,55,100,40,5190,2670,60,55,60,55,40,25,915,1510,20,10,1760,4110,35,5,85,15,370,1170,50,5,12625,5175,565,2620,1385
"                Serbo-Croatian, n.i.e.",0,5,0,15,0,0,0,115,65,0,0,0,5,0,0,60,35,0,0,85,120,0,0,0,0,15,65,0,0,360,120,25,65,55
              Slovak,25,70,60,225,20,35,60,370,620,40,30,30,40,100,30,285,345,15,0,530,770,30,5,35,20,280,405,95,0,2765,495,120,715,355
              Slovene (Slovenian),20,25,10,250,15,30,30,440,340,50,25,30,20,15,10,175,305,15,5,180,880,15,25,30,5,215,255,70,5,1425,230,105,120,375
              Ukrainian,135,210,75,1045,105,145,195,1365,1720,190,105,105,175,85,105,970,1435,90,135,1755,6500,95,30,295,55,1085,1330,415,40,13745,920,345,430,2140
"              Slavic languages, n.i.e.",0,0,0,5,0,0,0,25,5,0,0,0,0,0,0,5,10,0,0,5,20,0,0,5,70,5,5,5,0,65,10,15,15,15
          Celtic languages,10,5,5,40,10,20,5,30,40,20,10,10,15,10,10,25,50,5,5,80,30,15,0,10,0,30,65,5,0,200,30,30,15,25
            Irish,0,0,0,10,0,0,0,5,5,5,5,0,5,5,0,5,10,0,0,20,10,5,0,0,0,15,15,0,0,95,10,5,5,0
            Scottish Gaelic,0,5,0,10,0,5,0,10,10,0,5,5,0,0,0,5,15,0,0,15,10,5,0,0,0,5,15,0,0,30,10,5,5,5
            Welsh,0,0,5,20,5,15,0,15,20,10,0,5,5,5,5,10,15,5,0,40,5,0,0,5,5,10,30,0,0,55,5,15,10,10
"            Celtic languages, n.i.e.",0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,5,10,0,0,5,0,5,0,0,0,0,5,0,0,15,0,0,0,0
          Germanic languages,1260,1555,3770,5365,2115,7325,4975,5390,6005,2665,2090,8975,2130,1980,2045,6350,8610,1375,755,7545,5545,1425,495,1150,1320,7080,34805,970,465,17060,14890,8780,8220,5950
            Frisian,0,25,20,55,20,15,55,60,30,40,40,55,25,25,30,65,60,5,5,30,35,15,0,0,10,45,200,10,0,30,25,60,10,10
            High German languages,980,560,1650,3065,1220,5665,2245,2855,3220,1505,1080,5655,1155,600,1030,2700,4485,1005,545,4615,3645,765,395,835,915,4460,18705,570,390,12605,12155,5630,5310,4335
              German,935,545,1630,3005,890,3480,2220,2785,3120,1390,1015,4165,1095,580,980,2575,4445,960,440,4300,3560,745,260,795,750,4310,15605,550,250,10700,9275,3725,5265,3585
              Pennsylvania German,25,0,0,0,0,2070,0,5,0,85,30,1285,0,5,15,65,0,10,30,0,5,0,135,10,145,10,2665,0,125,10,2780,1790,0,5
              Swiss German,15,20,15,40,330,110,25,40,85,35,30,200,50,10,40,50,35,30,70,180,75,20,5,30,25,115,415,10,15,300,85,115,20,100
              Yiddish,0,0,0,20,0,0,0,20,15,0,0,5,10,0,5,15,5,5,5,130,5,5,0,0,0,30,20,0,0,1600,10,5,25,640
            Low Saxon-Low Franconian languages,200,930,2070,1965,805,1540,2620,2260,2305,985,865,3165,790,1310,900,3325,3805,305,165,2215,1515,560,95,255,355,2160,15375,300,80,3005,2490,2860,2825,1270
              Afrikaans,10,40,5,130,15,40,15,175,520,25,30,25,40,30,35,100,140,35,5,210,120,25,10,60,10,95,185,20,5,450,110,85,55,160
              Dutch,180,845,820,1795,760,1275,1135,2020,1710,925,790,1930,730,1110,835,2890,3380,255,110,1910,1345,520,75,190,330,2010,8950,265,65,2430,1760,2220,585,1070
"              Low German, n.o.s.",0,0,315,0,0,35,145,0,5,0,25,250,0,20,0,0,35,0,15,0,0,0,0,0,0,0,885,0,0,5,125,100,345,0
              Low Saxon,0,5,25,0,5,10,55,5,0,0,0,45,0,0,0,20,20,0,0,0,5,0,0,0,0,5,230,0,0,5,35,25,50,0
              Plautdietsch,0,10,815,0,5,155,1065,30,10,5,0,830,5,110,10,125,205,10,30,25,10,0,0,0,5,15,4520,10,0,20,410,400,1725,5
              Vlaams (Flemish),0,30,90,35,20,20,210,35,60,30,15,80,15,40,20,190,35,15,0,65,30,10,0,5,5,40,605,10,5,100,50,25,55,30
            Scandinavian languages,75,35,30,275,65,100,50,205,445,130,95,85,160,40,85,255,245,55,35,660,350,80,5,60,35,415,490,90,5,1380,210,225,75,335
              Danish,30,25,20,135,35,75,35,115,235,75,65,65,115,30,40,160,140,30,15,265,195,40,0,25,20,265,335,40,0,530,135,150,50,175
              Icelandic,0,0,0,10,0,0,0,0,15,10,0,0,0,0,5,10,5,0,0,20,5,0,0,5,0,5,10,5,0,45,10,5,0,15
              Norwegian,10,5,10,40,10,10,5,25,60,15,5,5,10,0,10,25,25,5,10,125,35,15,0,15,5,30,35,15,0,185,15,20,10,30
              Swedish,30,5,0,90,15,25,5,65,135,35,25,15,35,10,25,65,70,15,15,245,125,25,0,20,10,110,110,30,0,610,45,45,15,110
"            Germanic languages, n.i.e.",0,0,5,15,5,5,15,10,10,5,5,20,0,0,5,5,10,0,0,25,5,0,0,0,0,0,35,0,0,40,15,10,5,5
          Greek,35,140,110,2240,190,85,55,1355,1385,190,230,125,340,175,180,1655,760,65,15,1970,2775,120,5,155,40,840,1995,125,5,23540,1265,320,925,6400
          Indo-Iranian languages,670,4630,715,38225,1850,1100,430,23315,41800,585,1330,705,2840,1145,660,16765,7490,495,205,35855,320640,1470,695,1825,410,10080,21450,1455,145,207385,36180,9740,13740,97430
            Indo-Aryan languages,600,4445,660,29810,1620,1005,375,18650,37245,445,1250,655,2180,1045,550,12545,6480,430,200,25015,309800,1195,670,1710,365,7395,17010,1255,140,150135,29870,8050,12470,43955
              Assamese,0,0,0,25,0,0,0,5,30,0,0,0,0,0,0,20,0,0,0,10,65,0,0,0,0,0,20,0,0,115,10,15,5,20
              Bengali,45,120,25,3345,140,35,15,1365,1200,10,25,5,235,35,15,715,310,20,5,3990,7105,85,5,60,40,265,780,130,5,31335,1345,395,860,1665
              Gujarati,115,510,105,4400,190,245,60,2975,2475,125,430,160,430,315,135,1795,1015,100,45,2810,29815,320,145,465,110,1360,2435,345,40,27095,5665,1150,1815,8780
              Hindi,125,395,70,3435,100,120,20,1825,4890,50,125,90,345,200,75,1910,910,85,25,4220,31930,290,50,275,45,835,2255,270,15,22300,4120,895,1165,5685
              Kacchi,0,10,0,270,0,10,0,35,95,0,0,0,10,0,5,40,40,0,0,150,475,5,0,5,0,25,55,0,0,1570,130,30,5,955
              Kashmiri,0,0,0,10,0,10,0,5,70,0,0,0,0,0,0,5,10,0,0,25,155,0,0,0,0,10,15,0,0,90,5,0,10,55
              Konkani,0,10,0,100,0,0,0,50,170,5,10,0,5,5,0,40,20,0,0,125,975,15,0,0,0,10,45,10,0,745,55,20,10,200
              Marathi,0,35,10,395,15,15,5,140,575,5,10,5,25,35,5,170,85,10,5,475,3165,5,10,30,5,30,200,30,5,3025,385,85,115,565
              Nepali,20,155,30,120,5,10,5,330,155,10,15,110,50,15,5,1210,90,10,5,1005,2860,15,10,140,0,65,1465,60,0,3275,910,445,1000,150
              Oriya languages,0,0,0,75,0,0,0,10,85,0,0,0,0,0,0,10,0,0,0,80,405,0,0,5,0,0,15,0,0,500,30,20,15,70
                Odia,0,0,0,55,0,0,0,5,45,0,0,0,0,0,0,5,0,0,0,55,265,0,0,0,0,0,5,0,0,310,20,10,5,45
"                Oriya, n.o.s.",0,0,0,25,0,0,0,5,35,0,0,0,0,0,0,10,0,0,0,30,140,0,0,5,0,0,10,0,0,190,10,10,5,30
              Punjabi (Panjabi),235,2520,210,3425,335,280,100,6280,7590,135,395,205,555,275,200,3565,2150,155,80,5610,170160,260,410,495,85,2460,6020,270,70,21230,10625,3665,4310,9720
              Rohingya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,240,0,10,0
              Sindhi,0,15,0,100,0,0,0,105,355,0,0,0,15,0,0,40,20,0,0,100,960,15,0,0,0,15,40,0,0,550,150,15,20,175
              Sinhala (Sinhalese),10,40,10,830,20,10,5,315,560,15,15,10,35,10,30,170,115,5,10,920,2780,15,15,15,5,145,195,15,0,3260,375,180,115,970
              Urdu,35,640,185,13180,805,265,160,5145,18890,80,210,55,445,145,75,2820,1690,45,20,5385,58465,150,25,205,70,2155,3435,120,5,34460,5750,1130,2990,14850
"              Indo-Aryan languages, n.i.e.",0,0,0,100,0,0,0,45,95,0,0,0,10,5,0,25,30,0,0,95,485,10,0,5,0,20,30,5,0,575,80,15,20,105
            Iranian languages,70,180,55,8415,230,100,55,4665,4550,140,80,55,665,100,115,4220,1005,65,5,10830,10810,280,25,115,45,2680,4435,200,0,57210,6300,1690,1265,53445
              Baluchi,0,0,0,55,0,0,0,0,5,0,0,0,10,0,0,0,20,0,0,10,40,0,0,0,0,0,0,0,0,95,20,0,0,80
              Kurdish,35,5,0,140,5,5,15,1230,150,5,10,15,50,15,5,1525,255,0,0,785,355,75,0,0,0,135,1555,20,0,1865,750,255,295,1090
              Parsi,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,20,10,0,0,0,0,5,0,0,0,120,10,10,0,110
              Pashto,0,20,10,1235,90,25,0,320,690,5,5,0,30,5,15,255,90,0,0,1285,2060,35,0,15,0,100,285,0,0,4390,1125,210,100,650
              Persian languages,35,155,45,6955,135,70,35,3105,3680,130,70,40,575,75,100,2430,635,60,5,8690,8325,165,25,100,40,2425,2595,175,0,50490,4360,1220,870,51405
                Dari,0,85,0,4930,60,20,15,1340,1135,55,10,15,55,0,15,840,175,0,0,2325,4665,65,0,5,5,865,885,10,0,10715,1595,600,125,4565
                Iranian Persian,25,60,45,1315,65,50,20,1415,2240,65,55,20,470,75,75,1350,375,40,5,5735,2860,85,25,85,30,1240,1445,140,0,34575,2260,510,645,41155
"                Persian (Farsi), n.o.s.",0,10,5,700,10,5,0,350,310,10,0,5,50,0,5,245,85,10,0,635,795,15,0,15,0,315,265,25,0,5200,505,105,105,5685
"              Iranian languages, n.i.e.",0,0,0,10,0,0,0,5,15,0,0,0,0,0,0,5,0,0,0,40,15,0,0,0,0,15,5,0,0,250,30,0,0,115
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,10,30,0,0,0,0,5,0,0,0,45,10,0,0,25
          Italic (Romance) languages,3135,3125,1385,16760,1500,1265,1775,31525,27945,1435,1430,1105,3625,2055,990,21780,17925,900,320,30455,73695,1185,495,3105,510,20085,26820,3210,100,200780,26755,8000,17790,76095
            Catalan,0,0,0,5,0,0,0,15,10,5,0,0,5,0,5,10,5,0,0,35,15,0,0,0,0,10,15,0,0,115,5,5,5,15
            Italian,2620,1100,415,5210,425,385,350,12490,6145,555,415,230,585,840,270,2735,9060,465,155,7960,19795,385,280,1985,90,6575,3795,2380,40,50990,1655,3000,7760,46275
            Portuguese,195,915,565,3580,245,305,915,7410,7815,365,325,245,1675,485,205,6735,1725,175,75,5650,23780,235,70,320,90,6070,8290,365,10,60360,9950,1805,2295,7710
            Romanian,25,160,70,1495,100,115,60,1605,2155,90,75,100,145,65,70,820,545,25,5,2630,3150,100,35,50,50,800,1235,55,5,10510,4975,485,2185,5990
            Spanish,290,945,325,6445,730,460,450,9925,11785,415,610,520,1205,665,430,11460,6560,230,80,14140,26925,465,105,740,285,6600,13465,410,45,78575,10155,2705,5470,16030
"            Italic (Romance) languages, n.i.e.",0,0,0,25,0,0,0,80,25,0,0,5,0,0,5,20,30,0,0,35,30,5,0,10,0,30,25,0,0,220,15,10,70,75
"          Indo-European languages, n.i.e.",0,0,0,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,10,35,0,0,0,0,5,5,0,0,65,15,5,5,35
